                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
      4372000837289249792|265.60808773| -0.19398709|         14.637|    20.1|  107.899| -194.027|     2.8|       10.2|     7.9|    0.4|    1.3|
      3697925270868705280|183.36876708| -0.57838599|         17.394|    20.1| -235.382|  188.550|    10.3|        9.9|     8.3|    1.2|    1.2|
      1895829561238302848|333.48861506| 31.48959466|         13.515|    20.1| -158.997| -159.106|     5.3|        3.8|     6.6|    0.8|    0.6|
      1521779278877419008|191.17029026| 39.78413455|         17.642|    20.1| -261.300| -243.711|     8.3|        4.9|     8.6|    1.0|    0.6|
       609689200582248320|132.23661129| 14.77404618|         13.680|    20.1| -190.831| -191.528|     5.0|        4.6|     5.7|    0.9|    0.8|
      2539647942043292800| 17.81497042|  3.40401236|         13.327|    20.1| -113.132| -109.311|     3.9|       11.3|     8.3|    0.5|    1.4|
      3692785913001924224|196.31617444|  3.81584431|         13.624|    20.1|  193.564| -229.828|    14.1|       16.5|    12.2|    1.2|    1.4|
       333054411497081984| 33.38073268| 40.53753883|         17.201|    20.1|  108.823| -168.095|     0.2|        7.0|     5.8|    0.0|    1.2|
      2206335149615952000|336.17825873| 64.69510981|         17.600|    20.1|  101.632|  114.642|     6.7|        9.6|     6.4|    1.1|    1.5|
       701094728935735168|142.55305602| 32.77997213|         17.978|    20.1| -127.077| -191.749|     1.3|        6.6|     6.5|    0.2|    1.0|
      2278587632086663808|314.53019510| 76.81712206|         13.303|    20.1|  258.938|  345.778|     6.1|        5.6|     7.7|    0.8|    0.7|
       645385842009453568|142.34190657| 24.84233568|         12.986|    20.1|  185.477| -227.806|     7.9|       10.1|     8.2|    1.0|    1.2|
      3317375878362066816| 93.32608338|  4.29502359|         12.866|    20.1| -124.138| -185.796|     6.1|       12.2|     6.0|    1.0|    2.0|
      1026392837514247552|143.68639586| 58.74805942|         16.744|    20.1| -146.066| -399.184|     4.2|        3.3|     7.3|    0.6|    0.5|
      2876919182494551424|  1.77592094| 35.94479395|         14.556|    20.1| -205.922| -101.911|     4.3|        7.9|     8.4|    0.5|    0.9|
      5738803879211852416|138.79892510|-12.58808021|         16.228|    20.1| -124.906|  116.211|     1.6|        2.7|     7.1|    0.2|    0.4|
      3396474706207438464| 86.72683592| 16.98712707|         12.635|    20.1|  175.520| -143.903|     6.2|        6.2|     5.8|    1.1|    1.1|
      4435230899141403776|248.24965531|  4.60734634|         14.558|    20.1| -163.190| -166.759|     2.6|        9.3|     7.0|    0.4|    1.3|
      1915460963393169280|343.56974424| 35.35066298|         16.323|    20.1| -209.048| -139.978|     3.0|        1.7|     8.6|    0.4|    0.2|
      2187548928304290816|309.13558465| 58.29530865|         15.584|    20.1| -170.797| -177.456|    16.9|       17.3|     6.0|    2.8|    2.9|
      1515177845423363712|191.96998815| 34.82866740|         19.240|    20.1|  124.652| -214.820|    21.2|       31.1|    19.7|    1.1|    1.6|
      1995594779581097728|347.58642010| 53.48636289|         12.988|    20.1|  375.583|  177.816|     3.1|        5.7|     5.9|    0.5|    1.0|
      1257710602026720128|209.32656779| 23.87544337|         14.389|    20.1| -333.099| -274.759|    10.1|       11.1|     8.4|    1.2|    1.3|
       475476076789912832| 63.72211542| 62.16274256|         15.508|    20.1|  228.797| -199.840|     3.8|        1.4|     5.9|    0.6|    0.2|
      2810617875424744064|347.59446064| 10.74390542|         15.122|    20.1|  280.147| -139.495|     7.4|        3.4|    15.0|    0.5|    0.2|
      4213786542900150528|293.95436713| -2.93215419|         14.426|    20.1| -103.529| -133.235|     4.0|        5.6|     5.7|    0.7|    1.0|
      3679625686530744064|189.66178121| -6.11463407|         12.649|    20.1| -235.273| -358.673|     6.6|        6.8|     8.2|    0.8|    0.8|
      1324217655210283136|248.05548557| 30.97923724|         14.873|    20.1|  143.215| -155.708|     2.4|        1.4|     6.5|    0.4|    0.2|
      1678654230674407424|198.21762394| 67.08082145|         13.440|    20.1| -426.977|  207.567|    10.6|       13.5|     7.0|    1.5|    1.9|
       630366611957640192|151.91873244| 23.46276848|         14.586|    20.1| -162.884| -144.235|     4.4|        6.7|     7.8|    0.6|    0.9|
       973355553393360640|113.12896872| 43.87403988|         14.096|    20.1| -246.831| -236.436|     4.4|        2.9|     6.2|    0.7|    0.5|
       355752557742984576| 34.80492114| 50.64916349|         13.831|    20.1|  120.194|  104.114|     1.9|        3.2|     6.2|    0.3|    0.5|
      2075183719040956288|300.45971778| 41.30096875|         16.027|    20.1|  150.876|  170.859|     4.1|       13.1|     6.7|    0.6|    2.0|
      3162437991175363072|113.50914513| 12.17062256|         15.856|    20.1|  257.133| -299.581|     5.6|        2.2|     5.8|    1.0|    0.4|
      3942488199125926656|194.96321092| 20.29916295|         13.506|    20.1|  240.823| -483.931|     3.0|        5.0|     5.8|    0.5|    0.9|
       355752557742983808| 34.80803789| 50.65079349|         15.318|    20.1|  118.270|  105.315|     1.4|        2.2|     6.2|    0.2|    0.4|
      1040020803104475520|140.76643980| 62.15485510|         13.934|    20.2|  109.006| -157.238|     2.5|        5.2|     6.3|    0.4|    0.8|
      3708182546125132672|188.34676689|  5.19510184|         15.136|    20.2|  288.307| -237.510|     5.7|       12.0|     8.7|    0.7|    1.4|
      2704745625907935488|340.10617571|  3.68881351|         15.273|    20.2|  151.034| -143.220|     2.9|        2.3|     8.4|    0.3|    0.3|
      2501322540111676928| 36.64581801|  1.07309832|         15.724|    20.2| -176.903| -107.975|    11.2|       21.1|     8.2|    1.4|    2.6|
      3679864727230588672|188.39460565| -5.88188838|         13.985|    20.2| -115.205| -290.310|     5.0|        6.3|    10.2|    0.5|    0.6|
      4416169112725782528|232.83283197| -1.07041810|         16.022|    20.2| -116.443|  133.441|     5.7|        7.3|     7.0|    0.8|    1.0|
       173804686382152064| 69.67621221| 34.74886046|         14.148|    20.2|  246.621| -176.924|     3.8|        1.8|     6.3|    0.6|    0.3|
      2273018468252833792|324.61752999| 72.51153546|         17.170|    20.2|  173.285|  171.425|     5.7|       19.7|     6.6|    0.9|    3.0|
      1276260600140069888|227.96127047| 30.55051116|         16.483|    20.2| -392.572| -262.256|     4.7|        3.7|    11.9|    0.4|    0.3|
      4344030395348380160|244.05635937|-11.04320164|         13.998|    20.2|  123.156| -201.377|     1.8|        5.5|     6.2|    0.3|    0.9|
      1565337325365774080|200.97710886| 55.78624815|         17.861|    20.2| -119.830| -179.573|     4.0|        8.3|     8.2|    0.5|    1.0|
