                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
       912087093295958144|132.28387632| 39.60584213|         13.999|    60.8| -386.511| -333.906|     2.9|        5.5|     8.1|    0.4|    0.7|
      3038607830561555072|121.40613633| -9.54655437|         13.524|    61.3|  486.440| -576.794|     5.5|        8.6|     6.2|    0.9|    1.4|
       569821974111727744| 63.51645883| 82.25759093|         13.526|    61.3|  252.212| -567.946|     3.7|        4.8|     6.5|    0.6|    0.7|
      3269132022551595264| 50.51859834|  2.93964753|         13.310|    61.4|  340.252| -749.898|     3.1|        7.3|    10.3|    0.3|    0.7|
      1672538231604762624|208.20519739| 66.81589796|         13.887|    61.5| -472.049| -548.652|     2.8|        7.2|     5.9|    0.5|    1.2|
      3994492865736279552|170.77821306| 25.89213117|         13.543|    61.7|-1010.919| -323.127|     8.8|       10.2|     6.2|    1.4|    1.6|
        91289568531757184| 26.24011779| 16.34236264|         12.635|    61.7| -738.463| -420.703|     8.4|        7.0|     5.6|    1.5|    1.2|
      6913810483611035776|314.20256506| -4.84530759|         16.347|    61.8|  776.292| -223.117|    17.4|       21.6|     7.8|    2.2|    2.8|
      1060313492785021312|167.12534674| 68.50376157|         18.145|    61.8| -237.197| -198.662|     7.9|        5.4|     6.9|    1.2|    0.8|
      2800823799506215168|  6.33469185| 22.88435835|         12.771|    61.9| -234.412| -463.946|     2.9|        4.9|     6.1|    0.5|    0.8|
      4168368844280868992|263.53535706| -8.83242587|         14.108|    62.0| -183.328| -311.311|     1.9|        3.7|     5.9|    0.3|    0.6|
      3280675417175220224| 66.58254264|  3.60555076|         15.548|    62.5| -121.117|-1012.074|    16.8|       19.7|    10.6|    1.6|    1.9|
      1052520154368111872|155.79074604| 63.46251156|         14.593|    62.7|  299.941|  222.028|     8.7|        8.0|     7.3|    1.2|    1.1|
      1331106782752978688|247.10143736| 36.77438727|         13.783|    62.9| -494.230|  746.698|     0.3|        5.8|    11.1|    0.0|    0.5|
       309977380415042432| 17.34632105| 29.82564749|         17.591|    63.0| 1011.269|  368.227|     1.1|        3.3|     5.9|    0.2|    0.6|
      1380293091823646720|241.63659923| 40.90684468|         14.829|    63.4| -716.302|  162.486|     4.5|       12.7|     6.7|    0.7|    1.9|
